questionID,topicID,assignedDifficulty,modifiedDifficulty,categoryID,assignedCompletionTime,modifiedCompletionTime,question,code
"X'023F9AC52A8644368F2CF66208C940BF'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",60,60.00,Which keyword in Java is used to define custom exceptions?,
"X'0250538401254DEB80D737767C3F2DD4'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,What is the primary advantage of using recursion over iteration?,
"X'02509974F844418395B36940B7358970'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",60,60.00,"In Java, which keyword is used to explicitly throw an exception?",
"X'0262BB736CBB4A9183C125172AA12B5D'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",30,30.00,What is the main characteristic of a queue in Java?,
"X'02B56024C5C84808BD843118A2DF7FCB'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",55,55.00,"Which method in Java's ArrayList class is used to add all elements of a collection at the end of the list?",
"X'02E52A47530B454BA4B203C731EC3B3E'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",45,45.00,Explain the concept of an ArrayList in Java and provide an example scenario where it can be used.,
"X'0370CB7C80974DD8BE88918D1DD06D24'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",90,90.00,"In Java, what happens if you throw an exception inside a 'finally' block?",
"X'039225EBE16D47FB9F81B53BFAC1D1C6'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,"Create a Java program that handles a custom exception named 'CustomException' and throws it when a number entered by the user is negative.",
"X'03BD421DABC8455599FFA5C395B984AD'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",90,90.00,Analyze the provided Java code snippet. What is the worst-case time complexity of the function?,"public boolean isPalindrome(String s) {
    if (s.length() <= 1)
        return true;
    else
        return s.charAt(0) == s.charAt(s.length() - 1) && isPalindrome(s.substring(1, s.length() - 1));
}"
"X'03ED46AE4E2545A3AE8692C6A33C1159'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",90,90.00,"Consider the following Java code snippet. What will be the output of the code?

```java
Stack<String> stack = new Stack<>();
stack.push(""A"");
stack.push(""B"");
stack.push(""C"");
stack.remove(""A"");
System.out.println(stack);
```
","Stack<String> stack = new Stack<>();
stack.push(""A"");
stack.push(""B"");
stack.push(""C"");
stack.remove(""A"");
System.out.println(stack);"
"X'043545C746C9415C8242D645162AC362'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",40,40.00,Compare and contrast the usage of FileInputStream and BufferedInputStream in Java.,
"X'04683D7A504E47A1A67712F668C2C0E3'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",25,25.00,Which method in Java is used to check if a file is writable?,
"X'066067827E614AFCB35E31FC55C71914'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'417786202CD94EB89655C67365551278'",60,60.00,"Write a Java code snippet to check if a LinkedList named 'list' is empty.",boolean isEmpty = list.isEmpty();
